_,_
b,b
c,c
d,d
f,f
g,g
gw,gw
h,h
j,j
k,k
kw,kw
l,l
m,m
n,n
ng,ng
p,p
s,s
t,t
w,w
z,z
aa,aa
aai,aai
aau,aau
aam,aam
aan,aan
aang,aang
aap,aap
aat,aat
aak,aak,aac,aag
ai,ai
au,au
am,am
an,an
ang,ang
ap,ap
at,at
ak,ak
e,e
ei,ei
eu,eu
em,em
eng,eng
ep,ep
ek,ek
i,i
iu,iu
im,im
in,in
ing,ing
ip,ip,eep
it,it
ik,ik
o,o
oi,oi
ou,ou
on,on
ong,ong
ot,ot
ok,ok,ork
oe,oe
oeng,oeng
oek,oek
eoi,eoi
eon,eon
eot,eot
u,u
ui,ui
un,un
ung,ung
ut,ut
uk,uk
yu,yu
yun,yun
yut,yut
m,m
ng,ng
